,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,Marker4,Marker4,Marker4,Marker4,Hand:Index,Hand:Index,Hand:Index,Hand:Thumb,Hand:Thumb,Hand:Thumb,Hand:Middle,Hand:Middle,Hand:Middle,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker4,RigidBody 1:Marker4,RigidBody 1:Marker4
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3571463B00000002","8392B20CF49E3571463B00000002","8392B20CF49E3571463B00000002","8392B20CF49E3571463B00000000","8392B20CF49E3571463B00000000","8392B20CF49E3571463B00000000","8392B20CF49E3571463B00000001","8392B20CF49E3571463B00000001","8392B20CF49E3571463B00000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000004"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
16,0.533333,-0.048752,0.696028,0.021357,-0.716040,1.087962,1.324463,3.283551,0.000245,1.058996,1.321015,3.245621,0.954634,1.107527,1.323203,3.236531,0.931468,1.145268,1.327326,3.292673,0.937135,1.040056,1.326307,3.359379,0.931679,1.013548,1.328753,3.209711,0.999451,1.279299,3.357311,0.991309,1.314938,3.271810,1.058913,1.320986,3.245270,1.107662,1.323232,3.236857,1.145062,1.327310,3.292593,1.040212,1.326322,3.359494
17,0.566667,-0.047888,0.695865,0.021421,-0.716254,1.087721,1.324645,3.283271,0.000263,1.058730,1.321190,3.245363,0.948676,1.107258,1.323306,3.236241,0.924283,1.145037,1.327446,3.292357,0.932355,1.039861,1.326638,3.359124,0.931683,1.013248,1.328875,3.209419,0.999229,1.279745,3.357234,0.991089,1.315198,3.271534,1.058618,1.321180,3.245005,1.107426,1.323309,3.236580,1.144825,1.327444,3.292270,1.040021,1.326646,3.359239
18,0.600000,-0.046858,0.695809,0.021237,-0.716382,1.087425,1.324884,3.283063,0.000255,1.058419,1.321397,3.245168,0.953858,1.106947,1.323440,3.236030,0.925679,1.144747,1.327635,3.292128,0.934286,1.039589,1.327065,3.358926,0.931493,1.012890,1.329077,3.209220,0.998863,1.280262,3.357188,0.990829,1.315588,3.271280,1.058332,1.321370,3.244818,1.107109,1.323468,3.236368,1.144519,1.327620,3.292030,1.039746,1.327080,3.359047
19,0.633333,-0.046800,0.695715,0.021708,-0.716463,1.087096,1.325201,3.282854,0.000255,1.058076,1.321757,3.244966,0.954475,1.106603,1.323769,3.235814,0.930888,1.144422,1.327903,3.291903,0.929233,1.039284,1.327374,3.358732,0.929920,1.012995,1.329250,3.208898,0.998521,1.280643,3.356940,0.990501,1.316066,3.271033,1.058033,1.321730,3.244621,1.106735,1.323799,3.236151,1.144180,1.327886,3.291796,1.039439,1.327390,3.358857
20,0.666667,-0.046925,0.695656,0.021824,-0.716509,1.086842,1.325583,3.282568,0.000247,1.057816,1.322152,3.244684,0.955964,1.106342,1.324168,3.235525,0.930919,1.144170,1.328283,3.291610,0.939581,1.039042,1.327730,3.358455,0.926991,1.012686,1.329670,3.208690,0.998236,1.281001,3.356632,0.990201,1.316476,3.270768,1.057775,1.322092,3.244280,1.106442,1.324237,3.235917,1.143979,1.328248,3.291483,1.039177,1.327757,3.358607
21,0.700000,-0.045550,0.695572,0.021578,-0.716686,1.086644,1.325771,3.282168,0.000263,1.057597,1.322297,3.244303,0.951360,1.106122,1.324216,3.235120,0.923248,1.143979,1.328404,3.291180,0.935334,1.038877,1.328168,3.358068,0.926804,1.012426,1.329898,3.208274,0.997948,1.281426,3.356314,0.990007,1.316809,3.270400,1.057533,1.322228,3.243896,1.106242,1.324298,3.235535,1.143794,1.328363,3.291042,1.039012,1.328198,3.358214
22,0.733333,-0.043056,0.696014,0.021717,-0.716407,1.086526,1.325808,3.281636,0.000247,1.057500,1.322313,3.243757,0.958892,1.106040,1.324022,3.234612,0.928901,1.143862,1.328258,3.290692,0.933419,1.038701,1.328639,3.357485,0.931984,1.012406,1.329838,3.207698,0.997654,1.281977,3.355772,0.989932,1.317127,3.269767,1.057442,1.322267,3.243429,1.106168,1.324076,3.234951,1.143643,1.328230,3.290589,1.038852,1.328660,3.357587
23,0.766667,-0.041404,0.696500,0.021627,-0.716035,1.086588,1.325841,3.280973,0.000262,1.057598,1.322317,3.243069,0.948480,1.106152,1.323894,3.233976,0.926533,1.143919,1.328185,3.290088,0.932448,1.038682,1.328966,3.356759,0.930081,1.012489,1.329742,3.206861,0.997531,1.282467,3.355170,0.990049,1.317464,3.268850,1.057496,1.322261,3.242707,1.106322,1.323955,3.234298,1.143687,1.328157,3.290010,1.038849,1.328991,3.356886
24,0.800000,-0.040283,0.697280,0.021043,-0.715357,1.086712,1.325825,3.280287,0.000254,1.057797,1.322234,3.242332,0.957482,1.106372,1.323750,3.233335,0.924081,1.144026,1.328145,3.289515,0.931584,1.038653,1.329172,3.355967,0.932950,1.012795,1.329604,3.205956,0.997443,1.282715,3.354421,0.990281,1.317790,3.267787,1.057690,1.322190,3.242031,1.106547,1.323800,3.233634,1.143783,1.328122,3.289450,1.038831,1.329190,3.356045
25,0.833333,-0.039891,0.697511,0.020699,-0.715163,1.086826,1.325827,3.279573,0.000255,1.057934,1.322199,3.241604,0.944495,1.106514,1.323701,3.232635,0.942720,1.144134,1.328151,3.288833,0.934270,1.038721,1.329255,3.355220,0.923066,1.012927,1.329530,3.205207,0.997502,1.282727,3.353698,0.990362,1.317746,3.267127,1.057843,1.322191,3.241197,1.106649,1.323692,3.232909,1.143894,1.328160,3.288819,1.038920,1.329263,3.355371
